Item_Name,Description,Price,Allergens,Additives,Category,Position,Image,Group,Extra1,Extra2,Tax_Rate
Fischplatte,"Kalamares, Garnelen, Rotbarbenfilet mit Kartoffeln, gemischtem Salat, Zitronen-Knoblauch-Sauce und Brot",,,,Fisch,91.0,,,,,ermäßigt
Broccoli in Knoblauch-Sahnesauce ,mit Käse überbacken,,,,Beilagen,135.0,,,,,Standard
Zwiebeln mit Champignons,gebraten,,,,Beilagen,136.0,,,,,Standard
Spinat,in Knoblauch-Sahnesauce mit Käse überbacken,,,,Beilagen,137.0,,,,,Standard
Kritharaki mit Spinat,"griechische Nudeln mit Spinat, gemischtem Salat und Brot",,,,Nudeln,37.0,,,,,ermäßigt
Eis eine Kugel,,,,,Dessert,10005.0,,,,,ermäßigt
Gemischtes Eis ,"(Vanille, Schoko, Erdbeer)",,,,Dessert,10006.0,,,,,ermäßigt
Gemischtes Eis mit Sahne,"(Vanille, Schoko, Erdbeer)",,,,Dessert,10007.0,,,,,ermäßigt
Vanilleeis mit heißen Kirschen,,,,,Dessert,10008.0,,,,,ermäßigt
Vanilleeis mit heißen Kirschen und Sahne,,,,,Dessert,10009.0,,,,,ermäßigt
Vanilleeis mit heißer Schokolade,,,,,Dessert,10010.0,,,,,ermäßigt
Vanilleeis mit heißer Schokolade und Sahne,,,,,Dessert,10011.0,,,,,ermäßigt
Mostra Trocken Rotwein,500 ml Trocken Rotwein,,,,Flaschenweine,1500.0,,,,,Standard
Mostra Trocken Weißwein,500 ml Trocken Weißwein,,,,Flaschenweine,1501.0,,,,,Standard
Mostra Lieblich Rosewein,500 ml Lieblich Rosewein,,,,Flaschenweine,1502.0,,,,,Standard
Mostra Trocken Rosewein,500 ml Trocken Rosewein,,,,Flaschenweine,1503.0,,,,,Standard
Imiglikos lieblich Weißwein,"0,75 l Weißwein Imiglikos / lieblich",,,,Flaschenweine,1504.0,,,,,Standard
Kouros trocken,"0,75 l Weißwein Kouros / trocken",,,,Flaschenweine,1505.0,,,,,Standard
Makedonikos Tsantali Halbtrocken,"0,75 l Weißwein Makedonikos Tsantali / halbtrocken",,,,Flaschenweine,1506.0,,,,,Standard
Retsina geharzt Weißwein,"0,75 l Weißwein Retsina geharzt",,,,Flaschenweine,1507.0,,,,,Standard
Samos edelsüß Weißwein,"0,75 l Weißwein Samos / Edelsüß",,,,Flaschenweine,1508.0,,,,,Standard
Ateller Lagorthi-Riesling trocken Weißwein,"0,75 l Weißwein Ateller Lagorthi-Riesling / trocken",,,,Flaschenweine,1509.0,,,,,Standard
 Joghurt Himbeer,,,,,Dessert,100012.0,,,,,ermäßigt
Chateau Nico Lazaridi,"0,75 l Weißwein Ateller Lagorthi-Riesling / trocken",,,,Flaschenweine,1510.0,,,,,Standard
Espresso doppelt,,,,,Heiße Getränke,9681.0,,,,,Standard
"Wasser 0,4",,,,,Alkoholfreie Getränke In,9579.0,,,,,Standard
"Retsina Malamatina 0,5",,,,,Flaschenweine,9522.0,,,,,Standard
Espresso,,,,,Heiße Getränke,9610.0,,,,,Standard
Glas Wein,,,,,Offene Weißweine,709.0,,,,,Standard
Sardinen Vorspeise,,,,,Fisch,841215.0,,,,,ermäßigt
Platte eine Person mehr,,,,,Platten,9608.0,,,,,steuerfrei
Mittags Bifteki,,,,,Mittagstisch,3001.0,,,,,ermäßigt
Mittags Pastitio,,,,,Mittagstisch,3002.0,,,,,ermäßigt
Mittags Kalamares Tomaten,,,,,Mittagstisch,3003.0,,,,,ermäßigt
Mittags Gyros  in Metaxa,,,,,Mittagstisch,4001.0,,,,,ermäßigt
Mittags Garnelen ,Mittags Garnelen ,,,,Mittagstisch,4002.0,,,,,ermäßigt
Mittags Zuzuki,,,,,Mittagstisch,4003.0,,,,,ermäßigt
Mittags Gyros,,,,,Mittagstisch,5001.0,,,,,ermäßigt
Mittags Schnitzel,,,,,Mittagstisch,5002.0,,,,,ermäßigt
Mittags Scholle,,,,,Mittagstisch,5003.0,,,,,ermäßigt
Gyros-Gemüse Pfanne,,,,,Mittagstisch,6001.0,,,,,ermäßigt
Mittags Schweinesteak,"mit Tzatziki, Reis und gemischtem Salat",,,,Mittagstisch,6002.0,,,,,ermäßigt
Mittags Kalamares,"in Tomatensauce, mit Butterreis und gemischtem Salat",,,,Mittagstisch,6003.0,,,,,ermäßigt
Mittags Putensteak,"mit Tzatziki, Reis und gemischtem Salat",,,,Mittagstisch,6004.0,,,,,ermäßigt
Gyros,,,,,,0.52,,,,,Standard
Pommes,,,,,Beilagen,,,,,,Standard
Bohnensalat,,,,,Salate,,,,,,ermäßigt
Kartoffelscheiben,,,,,Beilagen,8998.0,,,,,Standard
Reis,,,,,,8997.0,,,,,ermäßigt
gebratene zwiebeln ,,,,,,8996.0,,,,,ermäßigt
Kritharaki,Kritharaki,,,,Topping,6804.0,,,,,ermäßigt
Gyros Kinder,,,,,Kinder Teller,42.0,,,,,Standard
Kartoffeln,,,,,,8995.0,,,,,ermäßigt
Elfbar,,,,,Aperetifs,962222.0,,,,,Standard
kein Salat,,,,,,9096.0,,,,,Standard
Ouzo aufs Haus,,,,,Aperetifs,5251315.0,,,,,Standard
Brot ,,,,,Küche Divers,254354345.0,,,,,ermäßigt
Lammhaxe mit Bamies,,,,,Lammhaxe,113.0,,,,,ermäßigt
Mykonos Teller,"Gyros, 2 Zuzuki, Reis Zaziki und gemischter Salat",,,,Gemischte Grillteller,70.0,,,,,ermäßigt
Gin Tonic,"- 50 ml Gin
- 150 ml Tonic Water
- Eiswürfel
- 1 Limettenscheibe zur Garnierung",,,,Aperetifs,6901.0,,,,,Standard
Spaghetti,Spaghetti,,,,Topping,6801.0,,,,,Standard
Broccoli,Broccoli,,,,Topping,6802.0,,,,,Standard
Spinat,Spinat,,,,Topping,6803.0,,,,,Standard
Weiß,,,,,,8000.0,,,,,Standard
Rot,,,,,,8001.0,,,,,Standard
Rose,,,,,,8002.0,,,,,Standard
